H,PC,T,SU,S,W
high,green,26,leaf,female,0.245
high,green,26,leaf,male,0.2268
high,green,26,leaf,female,0.2424
high,green,26,off-leaf,male,0.2277
high,green,26,off-leaf,female,0.2521
high,green,27,leaf,female,0.2325
high,green,27,leaf,male,0.2026
high,green,27,leaf,female,0.2368
high,green,27,leaf,female,0.2516
high,green,24,leaf,male,0.2063
high,green,24,off-leaf,male,0.1977
high,green,27,off-leaf,male,0.2192
high,green,24,off-leaf,male,0.1802
high,green,27,leaf,male,0.2216
high,green,29,leaf,female,0.2169
high,green,29,leaf,female,0.2317
high,green,29,off-leaf,female,0.2216
high,green,25,leaf,male,0.1893
high,green,25,leaf,female,0.2082
high,green,25,leaf,female,0.1988
high,green,25,off-leaf,male,0.2041
high,green,29,off-leaf,female,0.2418
high,green,29,leaf,female,0.2364
high,green,29,leaf,female,0.2695
high,green,26,off-leaf,male,0.1735
high,green,26,off-leaf,male,0.1957
high,green,29,leaf,female,0.2476
high,green,27,leaf,female,0.1538
high,green,27,off-leaf,male,0.1684
high,green,27,off-leaf,male,0.1873
high,green,27,off-leaf,female,0.2192
high,green,27,off-leaf,male,0.1941
high,green,27,leaf,female,0.2137
high,green,28,leaf,female,0.2112
high,green,29,leaf,female,0.172
high,green,37,leaf,female,0.1919
high,green,37,leaf,female,0.1764
high,green,36,leaf,female,0.2052
high,green,36,leaf,male,0.1567
high,green,23,leaf,female,0.1821
high,green,25,leaf,female,0.218
high,green,29,leaf,female,0.1644
high,green,26,off-leaf,male,0.1346
high,green,28,leaf,female,0.2405
high,green,29,off-leaf,female,0.1524
high,green,29,leaf,male,0.1356
high,green,29,off-leaf,female,0.1572
high,green,28,off-leaf,female,0.1644
high,green,28,leaf,male,0.1847
high,green,28,leaf,female,0.173
high,green,26,off-leaf,female,0.1635
high,green,23,leaf,male,0.2004
high,green,22,leaf,female,0.2211
high,green,31,off-leaf,male,0.1859
high,green,31,leaf,male,0.1992
high,green,30,off-leaf,female,0.1545
high,green,30,off-leaf,male,0.1544
high,green,30,off-leaf,female,0.1621
high,green,24,off-leaf,female,0.2335
high,green,36,leaf,male,0.1326
high,green,36,leaf,female,0.1603
high,green,36,leaf,female,0.1981
high,green,36,leaf,female,0.1728
high,green,27,off-leaf,female,0.1884
high,green,27,off-leaf,female,0.1976
high,green,27,leaf,male,0.2007
high,green,27,off-leaf,female,0.178
high,green,27,leaf,female,0.2164
high,green,34,leaf,female,0.1584
high,green,34,leaf,male,0.1308
high,green,34,leaf,female,0.1243
high,green,34,leaf,female,0.1158
high,green,34,leaf,male,0.1812
high,green,34,leaf,female,0.0971
high,green,31,leaf,female,0.2084
high,green,31,leaf,male,0.1719
high,green,31,leaf,female,0.1917
high,green,31,leaf,female,0.2284
high,green,31,leaf,male,0.203
high,green,31,leaf,female,0.2481
high,green,25,leaf,female,0.1969
high,green,25,leaf,male,0.1901
high,green,25,leaf,female,0.1888
high,green,25,leaf,female,0.2049
high,green,30,leaf,female,0.2542
high,green,30,leaf,female,0.237
high,green,30,leaf,female,0.1674
high,green,30,leaf,female,0.1959
high,green,30,leaf,male,0.1653
high,green,30,leaf,female,0.2009
high,green,30,leaf,female,0.1956
high,green,30,leaf,male,0.175
high,green,30,leaf,male,0.1829
high,green,26,off-leaf,female,0.2425
high,green,26,leaf,male,0.2045
high,green,26,leaf,male,0.2061
high,green,26,leaf,male,0.1657
high,green,26,leaf,female,0.2217
high,green,29,leaf,female,0.2484
high,green,29,leaf,female,0.2658
high,green,29,leaf,female,0.1905
high,green,34,off-leaf,female,0.1386
high,green,29,off-leaf,female,0.1779
high,green,29,off-leaf,female,0.2093
high,green,34,off-leaf,female,0.1659
high,green,26,leaf,female,0.1984
high,green,27,leaf,female,0.2278
high,green,25,leaf,female,0.2156
high,green,25,leaf,male,0.2101
high,green,25,leaf,male,0.2173
high,green,25,leaf,female,0.2296
high,green,25,leaf,male,0.2223
high,green,26,off-leaf,female,0.2159
high,green,27,leaf,female,0.2484
high,green,27,leaf,female,0.2174
high,green,23,leaf,female,0.233
high,green,23,leaf,female,0.2687
high,green,23,off-leaf,male,0.2107
high,green,20,leaf,male,0.2222
high,green,30,leaf,male,0.1763
high,green,29,leaf,female,0.2415
high,green,29,leaf,female,0.2161
high,green,25,leaf,female,0.2763
high,green,24,leaf,female,0.217
high,green,23,leaf,male,0.2087
high,green,23,leaf,female,0.2514
high,green,23,leaf,female,0.2202
high,green,23,leaf,female,0.2364
high,brown,25,off-leaf,female,0.2294
high,green,36,leaf,female,0.1579
high,green,29,leaf,male,0.2053
high,green,22,leaf,female,0.1379
high,green,32,leaf,female,0.1746
high,green,22,leaf,female,0.2354
high,green,25,leaf,female,0.1333
high,green,25,leaf,female,0.2058
high,green,25,leaf,female,0.2145
high,green,28,off-leaf,female,0.2241
high,green,26,leaf,male,0.1814
high,green,26,leaf,female,0.22
high,green,26,leaf,male,0.2033
high,green,34,leaf,male,0.1855
